Title,Alternate title,Genre,Primary Source Verification,Notes,Production Company,Production date,Distribution date,Length (reels),Actors,Directors,Producers,Camerawork,Attachments,Source,Writer,Otherwise Involved,Link to media,Distributor,Producers (Full Name),Actors (Full Name),Directors (Full Name),Otherwise Involved (Full Name),Writer (Full Name),Camerawork (Full Name)
A Black and Tan Mix-Up,,Comedy,"img?id=29304617&width=557&height=584&crop=1995_2827_481_514&rotation=0&brightness=0&contrast=0&invert=0&ts=1463066539&h=10abd84ea2712f4d232046602d375101 (https://dl.airtable.com/6i9ug4RHaiDZvjs6UTJQ_img%3Fid%3D29304617%26width%3D557%26height%3D584%26crop%3D1995_2827_481_514%26rotation%3D0%26brightness%3D0%26contrast%3D0%26invert%3D0%26ts%3D1463066539%26h%3D10abd84ea2712f4d232046602d375101),818_2849_384_665.jpg (https://dl.airtable.com/WXfAFJGARkiSLJdppMV0_818_2849_384_665.jpg)","Box 53, F28, GPJ Collection.

See also ad in Tonawanda (NY) Evening News, Dec. 1, 1918, p. 4. 

Ad in Rome (NY) Daily Sentinel, Oct. 4, 1918, p. 2.

Ad in Utica (NY) Herald-Dispatch, Dec. 3, 1918, p. 11. 

Clipping- TheHutchinson News, 5 Feb 1919, Wed, Page 5

Clipping-The Fort Wayne Journal-Gazette, 2 Feb 1919, Sun, Page 5B",Ebony Film Corporation,1918,1918,2,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"Richard E. Norman and Race Filmmaking,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree, Frank Pollard",,,,
A Black Sherlock Holmes,,Comedy,"img?id=80987547&width=557&height=728&crop=623_430_876_1166&rotation=0&brightness=0&contrast=0&invert=0&ts=1463074051&h=5e7d43e8bdbb795ac8b33a3d3c7c6f16 (https://dl.airtable.com/Ls5c9W7RzGgfqoQDkKgg_img%3Fid%3D80987547%26width%3D557%26height%3D728%26crop%3D623_430_876_1166%26rotation%3D0%26brightness%3D0%26contrast%3D0%26invert%3D0%26ts%3D1463074051%26h%3D5e7d43e8bdbb795ac8b33a3d3c7c6f16),img?id=119294669&width=557&height=1760&crop=1916_2883_621_1999&rotation=0&brightness=0&contrast=0&invert=0&ts=1463074475&h=4c3a5fe39c4f8add16e1975e3febac24 (https://dl.airtable.com/3rFsi3ieQQqpPTbQIX9b_img%3Fid%3D119294669%26width%3D557%26height%3D1760%26crop%3D1916_2883_621_1999%26rotation%3D0%26brightness%3D0%26contrast%3D0%26invert%3D0%26ts%3D1463074475%26h%3D4c3a5fe39c4f8add16e1975e3febac24)","Clipping- Salisbury Evening Post, 6 Jun 1918, Thu, Page 6

Clipping- Arizona Republic, 1 Sep 1918, Sun, Page 2",Ebony Film Corporation,1918,1918,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",Phillips,,,,"Richard E. Norman and Race Filmmaking,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree, Frank Pollard",R.G. Phillips,,,
A Busted Romance,,Comedy,1518_2067_389_672.jpg (https://dl.airtable.com/lyxEPj85SC66dzpHYaZT_1518_2067_389_672.jpg),"The Hutchinson News, 20 Nov 1918, Wed, Page 3",Ebony Film Corporation,1918,1917,,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
A Reckless Rover,,Comedy,clipping_5212395.pdf (https://dl.airtable.com/zWpNayNwSTCnRUzDvR45_clipping_5212395.pdf),"Verification: Bisbee Daily Review (Bisbee, Arizona) 29 Dec 1918, Sunday, Page 6 -MC",Ebony Film Corporation,1918,,,"Robinson,Jacks,Starks,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",David,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company,,"Sam Robinson, Samuel Jacks, Will Starks, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree, Frank Pollard",N.C. David,,,
A Woman's Worst Enemy,,,,"Included in prospectus for Foster Co. but not clear whether produced.

unable to verify-MC
",Foster Photoplay Company,1918,,5,,Foster,Foster,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",The Ambitions of William Foster",,,,,William Foster,,William Foster,,,
Are Working Girls Safe?,,Comedy,"clipping_5212973.pdf (https://dl.airtable.com/d6ehEh3NRoKtlObRhge4_clipping_5212973.pdf),clipping_5212977.pdf (https://dl.airtable.com/9UstPGMcQi2hRwGnSkat_clipping_5212977.pdf)"," The Wichita Beacon
(Wichita, Kansas)
10 Aug 1918, Page 7;  The Journal News
(Hamilton, Ohio)
24 Nov 1922, Page 12 ",Ebony Film Corporation,1918,1918,2,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree",,,,
Brother,,Drama,,"unable to verify- SN
Included in prospectus for Foster Co. but not clear whether produced.",Foster Photoplay Company,1918,,6,,Foster,Foster,,,"The Ambitions of William Foster,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,William Foster,,William Foster,,,
Clef Club Five Minutes for Train,,,,"unable to verify - SN

",Colored and Indian Film Corporation,1918,1918,,Europe,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Frame by Frame: A Black Filmography (Part 1)",,,,,,James Reese Europe,,,,
Colored Troops at Chillicothe,,Actuality,,Unable to Verify ,Finely Film Company,1918,1918,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Devil for a Day,,Comedy,motionpicturenew172unse_1349.jpg (https://dl.airtable.com/kQvlKxt8QXiPNhaI6Wwa_motionpicturenew172unse_1349.jpg),"Motion Picture News, June 1, 1918, p. 3281.

(Discrepancy: Sampson gives the release date as 1917, but Motion Picture News announces the series' production in June 1918.)",Ebony Film Corporation,1918,1918,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree",,,,
Do the Dead Talk?,,Comedy,"clipping_5240702.pdf (https://dl.airtable.com/KAQsEGT5QzSMs93PdoAd_clipping_5240702.pdf),clipping_5240713.pdf (https://dl.airtable.com/eAImJVzRRdP1ED3NZgJY_clipping_5240713.pdf),clipping_5240728.pdf (https://dl.airtable.com/28obIiICRfy9ZNOcQvId_clipping_5240728.pdf),Do_The_Dead_Talk.pdf (https://dl.airtable.com/6W9xaygRM6iE8GFpKZHt_Do_The_Dead_Talk.pdf)","Verified: The Fort Wayne Journal-Gazette
Fort Wayne, Indiana
Sun, May 15, 1921 ' Page 8B

The Fort Wayne Journal-Gazette
Fort Wayne, Indiana
Fri, May 13, 1921 ' Page 16",Ebony Film Corporation,1918,1918,2,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree",MacCullough,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree",Jack MacCullough,,,
Doing Their Bit,Our First Industrial Heroes Doing Their Bit,"Actuality,Newsreel","out (37).pdf (https://dl.airtable.com/780k0LEQBSRF8Kntcssp_out%20(37).pdf),out (38).pdf (https://dl.airtable.com/xf3DhhrOSFijXdKQ6RtJ_out%20(38).pdf),out (39).pdf (https://dl.airtable.com/IfsqJ7VgRfWRevzUfvYy_out%20(39).pdf)","A serial, although not clear that all 12 planned installments were produced.

AMONG THE MOVIES. (1918, Aug 24). The Chicago Defender (Big Weekend Edition) (1905-1966).

Display ad 19 -- no title. (1918, Jul 06). The Chicago Defender (Big Weekend Edition) (1905-1966).

Display ad 18 -- no title. (1918, Jul 13). The Chicago Defender (Big Weekend Edition) (1905-1966).",Toussaint Motion Picture Company,1918,1918,,Knight,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,Charles Knight,,,,
Fixing the Faker,,Comedy,,Unable to Verify,Ebony Film Corporation,1918,1918,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree",,,,
Fool and Fire,,Drama,,"Included in prospectus for Foster Co. but not clear whether produced. --MP, per Field",Foster Photoplay Company,1918,1918,5,,Foster,Foster,,,"The Ambitions of William Foster,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,Foster Photoplay Company,William Foster,,William Foster,,,
For the Honor of the 8th Ill. U.S.A.,,Actuality,out.pdf (https://dl.airtable.com/T7l58ASQR6Gl2WRLDVXo_out.pdf),"Display ad 1 -- no title. (1914, Sep 12). The Chicago Defender (Big Weekend Edition) (1905-1966)",Peter P. Jones Photoplay Ltd.,1918,,,,,,Jones,,"The Ambitions of William Foster,Envisioning Freedom: Cinema and the Building of Modern Black Life",,,,,,,,,,Peter P. Jones
Good Luck in Old Clothes,,,Albuquerque_Journal_Fri__Feb_7__1919_.pdf (https://dl.airtable.com/coP2evwdSZyxp5vNehoX_Albuquerque_Journal_Fri__Feb_7__1919_.pdf),"Albuquerque Journal (Albuquerque, New Mexico), Fri, Feb 7, 1919, Page 8",Ebony Film Corporation,1918,,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree, Frank Pollard",,,,
Lincoln Pictorial ,,"Newsreel,Documentary ",,Views of the black community of Los Angeles.,Lincoln Motion Picture Company,1918,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Love and Undertakers,,Comedy,,"Cast: Montgomery and his wife

Unable to find mention of this film in the press. --MP",Colored and Indian Film Corporation,1918,,1,,,"Michaels,Montgomery",,,"Blacks in Black and White,""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,,"Daniel Michaels, Frank Montgomery",,,,,
Mother,,Drama,out (12).pdf (https://dl.airtable.com/yhKds5PSbeZClsjqrRVw_out%20(12).pdf),"Display ad 52 -- no title. (1918, Aug 17). The Chicago Defender (Big Weekend Edition). --MP",Foster Photoplay Company,1918,1918,6,,Foster,Foster,,,"The Ambitions of William Foster,Forgeries of Memory and Meaning: Blacks and the Regimes of Race in American Theater and Film Before World War II",,,,,William Foster,,William Foster,,,
Negro Soldiers Fighting for Uncle Sam,,,,"Unable to verify. --MP

",Peter P. Jones Photoplay Ltd.,1918,,,,,,Jones,,The Documentary Film Reader,,,,,,,,,,Peter P. Jones
Spying the Spy,,Comedy,"out(16).pdf (https://dl.airtable.com/2QIS7wSgRMOmaPzH6We3_out(16).pdf),out(17).pdf (https://dl.airtable.com/QzVm56HwT2CBjXBIYuty_out(17).pdf)","The Chicago Defender (Big Weekend Edition) (1905-1966) [Chicago, Ill] 20 July 1918: 6; Afro-American (1893-1988) [Baltimore, Md] 10 Jan 1919: A8",Ebony Film Corporation,1918,1918,,Robinson,Phillips,,,,"Richard E. Norman and Race Filmmaking,Blacks in Black and White",,,,,,Sam Robinson,R.G. Phillips,,,
The Birth of a Race,Lincoln's Dream,Drama,out (16).pdf (https://dl.airtable.com/YScsxeiATRiSGy6kwxOw_out%20(16).pdf),"Verification: Reed, C. (1983, Feb 17). A history of blacks in american film. Los Angeles Sentinel (1934-2005) Retrieved from http://search.proquest.com/docview/565433799?accountid=14512""an epic tale of interracial cooperation and humanity that began in the��

Garden of Eden and continued into the twentieth century"" (Caddoo)","The Photoplay Corporation,Birth of a Race Film Company",1918,1918,12,,Noble,Scott,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Emmett J. Scott,,John W. Noble,,,
The Bully,,Comedy,,Unable to verify - SN,Ebony Film Corporation,1918,1918,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree",,,,
The Comeback of Barnacle Bill,,Comedy,clipping_5294405.pdf (https://dl.airtable.com/vfj2qhOaQj25Uzerbw8v_clipping_5294405.pdf),"Verification: Bisbee Daily Review 
(Bisbee, Arizona)
28 Jan 1919, Tue ' First Edition ' Page 6 ",Ebony Film Corporation,1918,1918,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Junior",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Migrating to the Movies: Cinema and Black Urban Modernity",,,,,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree, Yvonne Junior",,,,
The Dawn of Truth,,,,"Unable to Verify - SN
Richards gives release date as 1916. --MP",Peter P. Jones Photoplay Ltd.,1918,,,,Jones,Jones,Jones,,"The Documentary Film Reader,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Peter P. Jones,,Peter P. Jones,,,Peter P. Jones
The Homesteader,,Drama,,"Cast list and length from Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",Micheaux Film Corporation,1918,1919,8,"Lucas,Hall,Moore,Preer,Smith,Duncan,Wood,George",Micheaux,Micheaux,,,"Envisioning Freedom: Cinema and the Building of Modern Black Life,Oscar Micheaux and His Circle",Micheaux,,,,Oscar Micheaux,"Charles D. Lucas, Iris Hall, Charles Moore, Evelyn Preer, Inez Smith, Vernon S. Duncan, Trevy Wood, William George",Oscar Micheaux,,Oscar Micheaux,
The Janitor,,,,All members of the cast are members of the George M. Lewis Stock Company,"Ebony Film Corporation,George M. Lewis Stock Compay",1918,,2,"Robinson,Junior,Starks,Watson,Skekeeter,Price,Lewin,Moralis,Whitely,Brogsdale,Pollard,Jacks,Duree",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company,,"Sam Robinson, Yvonne Junior, Will Starks, Julia Watson, Evon Skekeeter, Mildred Price, George Lewin, Bertie Moralis, Elsie Whitely, Walter Brogsdale, Frank Pollard, Samuel Jacks, Robert Duree",,,,
The Porters,,,,Unable to Verify ,Ebony Film Corporation,1918,,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree, Frank Pollard",,,,
What's the Use?,,,,,Township Film Company,1918,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
When Cupid Went Wild,,,,,Ebony Film Corporation,1918,,2,"Starks,Robinson,Jacks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Will Starks, Sam Robinson, Samuel Jacks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree, Frank Pollard",,,,
When You Are Scared Run,When You're Scared Run,Comedy,Screen Shot 2016-05-17 at 9.55.46 PM.png (https://dl.airtable.com/aPd3gOkURUimI0dUWOh8_Screen%20Shot%202016-05-17%20at%209.55.46%20PM.png),"""General Releases Arranged,"" Motion Picture News, August 17, 1918, p. 1085.",Ebony Film Corporation,1918,1918,,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,General Film Company,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree, Frank Pollard",,,,
When You Hit Hit Hard,,Comedy,movwor37chal_0838.jpg (https://dl.airtable.com/IX1dWl94Ruen6vZEGtua_movwor37chal_0838.jpg),"Moving Picture World, August 10, 1918, p. 770.

",Ebony Film Corporation,1918,,2,"Robinson,Jacks,Starks,Mason,Murphy,Skekeeter,Price,Brogsdale,Duree,Pollard",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Sam Robinson, Samuel Jacks, Will Starks, Julia Mason, Bert Murphy, Evon Skekeeter, Mildred Price, Walter Brogsdale, Robert Duree, Frank Pollard",,,,
The Eyes of Mystery,,,,"Box 14

",,1/24/1918,,,"Dempsey,Byrd",,,,,George P. Johnson Negro Film Collection,,,,,,"Pauline Dempsey, Anthony Byrd",,,,
8th Regiment Departing for Texas & Relatives of 8th Regiment Troops,,Actuality,out (9) (1).pdf (https://dl.airtable.com/C6kmmK09Rq4TZttkUJHa_out%20(9)%20(1).pdf),"""Something New in Movies."" The Chicago Defender (Big Weekend Edition) (1905-1966), Apr 27, 1918.",Foster Photoplay Company,5/1/1918,5/1/1918,,,Foster,Foster,,out (9).pdf (https://dl.airtable.com/na2Nrx7oQnGzwj9AVZ8M_out%20(9).pdf),The Ambitions of William Foster,,,,,William Foster,,William Foster,,,
Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,,,out (10).pdf (https://dl.airtable.com/WmSzqpbT324m2K5D68Ng_out%20(10).pdf),"Unable to Verify with clipping - SN 

Foster photo play co. completes chicago picture. (1918, Jun 29). The Chicago Defender (Big Weekend Edition) (1905-1966).",Foster Photoplay Company,6/1/1918,6/1/1918,,"Marshall,Robinson,Bowen,Ellis,Clark",Foster,Foster,,,The Ambitions of William Foster,,,,,William Foster,"John Marshall, Bill Robinson, Henderson Bowen, George W. Ellis, William H. Clark",William Foster,,,
Smile Film of Colored Troops' Folks,,Actuality,out (11).pdf (https://dl.airtable.com/oKmT37qORTpKKlNuuAqt_out%20(11).pdf),"""The Herald and Examiner described the crowds assembled in Grant
Park as 'the largest gathering of negroes ever flmed in the world.'"" (Field 2016, 63).

Clubs to be taken in ""smile movie"". (1918, Nov 09). The Chicago Defender (Big Weekend Edition). --MP",Foster Photoplay Company,11918,11918,,,"Foster,Weber",Foster,"Foster,Weber",,The Ambitions of William Foster,Weber,,,,William Foster,,"William Foster, Rex Weber",,Rex Weber,"William Foster, Rex Weber"
A Man's Duty,,Drama,out (50).pdf (https://dl.airtable.com/LOsI5iHRjm6SY1eCcgmJ_out%20(50).pdf),"""A MAN'S DUTY."" The Chicago Defender (Big Weekend Edition) (1905-1966), Sep 27, 1919.",Lincoln Motion Picture Company,1919,1919,,"Brooks,King,Darden,Gray,Johnson,Saunders ,White,Criner,Conners",Thomas,"Johnson,Johnson",Gant,clipping_5171268.pdf (https://dl.airtable.com/7hovOljTmihWtQf9Ktry_clipping_5171268.pdf),Richard E. Norman and Race Filmmaking,,,,,"Noble Johnson, George Johnson","Clarence Brooks, Webb King, Tasmania Darden, Ethel Gray, Eva Johnson, W.H Saunders , Frank White, Jeanette Criner, Mrs. Conners",D. Ireland Thomas,,,Harry Gant
Dark and Cloudy,,Comedy,Dark_and_Cloudy.pdf (https://dl.airtable.com/T1xtDy1SW61CYuTaXQvW_Dark_and_Cloudy.pdf),"Verified: The Fort Wayne Sentinel
Fort Wayne, Indiana
Sat, Jan 3, 1920 ' Page 12

",Gaiety Comedies,1919,1919,2,"Byron,Ovey",,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,"Lillian Byron, George Ovey",,,,
Democracy or a Fight for Right,"Democracy, the Vision Restored",Drama,"clipping_5267411.pdf (https://dl.airtable.com/XFGfrna6QIOAKshstw5N_clipping_5267411.pdf),clipping_5267426.pdf (https://dl.airtable.com/NKYDJGPQWmdAlRDJcUkG_clipping_5267426.pdf)","I'm assuming Democracy or a Fight for Right and Democracy, a Vision Restored are the same film, but I'm not sure. See The Fort Wayne Sentinel  (Fort Wayne, Indiana),18 Jun 1919, Wed ' Page 4, and The Cincinnati Enquirer (Cincinnati, Ohio), 11 Apr 1920, Sun ' Page 69. --MP",Democracy Photoplay Corporation,1919,1919,,,,,,,"Slow Fade to Black,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
Golden Pearls of Progress,,,,,Exquisite Productions,1919,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,,,,,,,
Heroic Colored Soldiers of the War,,Actuality,,"Box 19, Heroic Colored Soldiers of the War folder, GPJ Collection. --MP 
Shown in Chicago theatre

",Frederick Douglass Film Company,1919,1919,,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
Loyal Hearts,Injustice,Drama,out (6).pdf (https://dl.airtable.com/GwFTTXZlQlaejuEdODIz_out%20(6).pdf),"Box 4, Bookertee Film Exchange folder, GPJ Collection --MP

""LOYAL HEARTS"". (1920, May 01). The Chicago Defender (Big Weekend Edition) (1905-1966)  --MP","Democracy Photoplay Corporation,Loyalty Film Company,Democracy Film Corporation",1919,1919,5,"Dones,Kalana,Doanes",Dones,,,File:Injustice_%281919%29_%28Loyal_Hearts%29_-_Ad_1.jpg (https://dl.airtable.com/1qDlVjZVRFqvox5yz6R2_File%3AInjustice_%25281919%2529_%2528Loyal_Hearts%2529_-_Ad_1.jpg),"George P. Johnson Negro Film Collection,Blacks in Black and White,Slow Fade to Black",,,,Bookertee Film Company,,"Sidney P. Dones, Thias Nehli Kalana, Sidney Preston Doanes",Sidney P. Dones,,,
Prize Drill Team,,Newsreel,,,Colored and Indian Film Corporation,1919,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,,,,,,
The Love Bug,,Comedy,,"""Cast: a 425-pound woman and a set of triplets""",Norman Film Manufacturing Company,1919,1920,2,"Mills,Frisbie,Stewart,Johnson",Norman,Norman,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",,,,Norman Film Manufacturing Company,Richard E. Norman,"Billy Mills, Maud Frisbie, Robert Stewart, Maud Johnson",Richard E. Norman,,,
Upward Path,,,,,Democracy Photoplay Corporation,1919,1919,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Blacks in Black and White",,,,Bookertee Film Company,,,,,,
Within Our Gates,Within Our Gates: A Story of the Negro,Drama,out (57).pdf (https://dl.airtable.com/eNPqTvaJTWOmVrCrHPAV_out%20(57).pdf),"Original film was 8 reels, but censors forced removal of 1 reel (1,200 feet), according to Musser et al. Full cast list from Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP

Display ad 14 -- no title. (1920, Jan 24). The Chicago Defender (Big Weekend Edition) (1905-1966) .",Micheaux Film Corporation,1919,1920,8,"Preer,Chenault,Lucas,Starks,Edwards,Edwards,Tatum,Chenault,Jacks,Gorman,Clements,Cook,Johnson,Ruffin,Ladd,Evelyn,Smith,Harris",Micheaux,Micheaux,,,"Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,Slow Fade to Black,Oscar Micheaux and His Circle",Micheaux,,,,Oscar Micheaux,"Evelyn Preer, Lawrence Chenault, Charles D. Lucas, Will Starks, Mattie Edwards, Grant Edwards, E.G. Tatum, Jack Chenault, Samuel Jacks, Grant Gorman, Flo Clements, Jimmie Cook, Ralph Johnson, James D. Ruffin, Bernice Ladd, Mrs. Evelyn, William Smith, LaFont Harris",Oscar Micheaux,,Oscar Micheaux,
8th Regiment in Chicago,,Actuality,,"According to Musser et al., An Oscar Micheaux Filmography (in Bowser et al.)., Micheaux's authorship is uncertain.",Micheaux Film Corporation,2/17/1919,2/20/1919,1,,,,,?spot=5238885#spot=5238885 (https://dl.airtable.com/1oEHVatrSoGM16XHVjJl_%3Fspot%3D5238885%23spot%3D5238885),Oscar Micheaux and His Circle,,,,,,,,,,
A Daughter of Pharoah,,,,"Box 53, F28, GPJ Collection

Unable to verify. --MP",Trinity Film Corporation,1920,1920,6,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,,,,,,,
A Day in the Magic City of Birmingham,"A Day in the Magic City of Birmingham, Ala.",Actuality,out (28).pdf (https://dl.airtable.com/lGBRS2GkSK6OFaxhk1Re_out%20(28).pdf),"Box 53, F28, GPJ Collection

""Display Ad 18 -- no Title."" The Chicago Defender (National Edition) (1921-1967), Jul 16, 1921.",Pyramid Picture Corporation,1920,7/1/1921,1,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",George P. Johnson Negro Film Collection",,,,,,,,,,
A Day in the Nation's Capital,,Actuality,out (29).pdf (https://dl.airtable.com/IBJoFKlPSsqpQLZXQnRi_out%20(29).pdf),"""Taken for Motion Pictures."" The Chicago Defender (Big Weekend Edition) (1905-1966), Jul 31, 1920.",Monumental Corporation,1920,1920,,Truate,,Clifford,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,J. Williams Clifford,A.B. Truate,,,,
Eyes of Youth,,Drama,out.pdf (https://dl.airtable.com/LWhKOenSJKvCj7fwJlKf_out.pdf),"The Chicago Defender

GPJ Collection, Box 12",Quality Amusement Company,1920,1920,,Mitchell,Levy,Levy,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926"",George P. Johnson Negro Film Collection,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,,Robert Levy,Abbie Mitchell,Robert Levy,,,
From Harlem to the Rhine,,Actuality,The_New_York_Age_Sat__May_22__1920_.pdf (https://dl.airtable.com/cmHbKCcHSImYoxiMIIMK_The_New_York_Age_Sat__May_22__1920_.pdf),"The New York Age (New York, New York), May 22, 1920, Page 6",,1920,5/22/1920,5,,,Hayward,,,Slow Fade to Black,,,,,William Hayward,,,,,
Home Brew,,Comedy,clipping_5211858.pdf (https://dl.airtable.com/aVkKxCQdTzq4LMOwg7kj_clipping_5211858.pdf),"Not clear if this was produced -- clipping says it was proposed. Box 19, Home Brew folder, GPJ collection. --MP

Also a Paramount comedy advertised in The Winnipeg Tribune 
(Winnipeg, Manitoba, Canada) 19 Feb 1921, Sat ' Page 26, featuring Louise Fazenda and Billy Beven. --MP",Maurice Film Company,1920,1920,2,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
Howard-Lincoln Football Game,,Actuality,out (1).pdf (https://dl.airtable.com/1SLSrnqRaOVvGeLeQBVX_out%20(1).pdf),"B53, F28, George P. Johnson Collection


Was not able to find the 1920 version of this film, but found mention of a film shown in 1923. See: Display ad 32 -- no title. (1923, Dec 14). Baltimore Afro-American.",Monumental Corporation,1920,,,,,,,,George P. Johnson Negro Film Collection,,,,,,,,,,
