LN,FN,Full name,AKA,DOB,DOD,Notes,Attachments,Films (Appeared in),Films (Directed),Films (Produced),Films (Camerawork),Source,Films (Otherwise Involved),Prodctn Comp. Associated With,Theatrical Company Assoc. With,Films
Dixon,Gabrielle,Gabrielle Dixon,,,,,,The Revue des Revues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Doanes,Sidney Preston,Sidney Preston Doanes,Sidney P. Doanes,1888,8/2/1947,,,Loyal Hearts,,,,George P. Johnson Negro Film Collection,,,,
Doe,John,John Doe,,,,,,The Railroad Porter,,,,Envisioning Freedom: Cinema and the Building of Modern Black Life,,,,
Dones,Sidney P.,Sidney P. Dones,,1888,1947,"Noted as president, Bookertee Film Co., in GPJ Collection, Box 4, folder Bookertee Film Exchange. --MP",,"The $10000 Trail,Reformation,Loyal Hearts,My First Love",Loyal Hearts,The $10000 Trail,,"Slow Fade to Black,George P. Johnson Negro Film Collection",,"Bookertee Film Company,Sidney P. Dones",,
Dorsey,D. A.,D. A. Dorsey,,,,,,,,Fighting His Way Thru,,Richard E. Norman and Race Filmmaking,,,,
Dove,Marie,Marie Dove,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,,
Downing,Henry Francis,Henry Francis Downing,,,,"Playwright of The Racial Tangle (1920), on which Thirty Years Later was based. Author of The American Cavalryman: A Liberian Romance, on which A Daughter of the Congo was based. Both per Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP",,,,,,,"Thirty Years Later,A Daughter of the Congo",,,
Dudley,Sherman,Sherman Dudley,Uncle Dud,,,,,"The Simp,Easy Money,Reckless Money","Easy Money,Reckless Money",Reckless Money,,Slow Fade to Black,,Colored Players Film Corporation of Philadelphia,,
Dudley,Mary,Mary Dudley,,,,"Coreographer
",,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Reckless Money,,,
Dugas,Oscar Roy,Oscar Roy Dugas,,,,,,The Midnight Ace,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Dumont,Dorothy,Dorothy Dumont,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,The $10000 Trail,,,,Frame by Frame: A Black Filmography (Part 1),,,,
Dunbar,Louise,Louise Dunbar,,,,,,The Green Eyed Monster,,,,Oscar Micheaux and His Circle,,,,
Dunbar,Paul Lawrence,Paul Lawrence Dunbar,,,,,,,,,,Slow Fade to Black,The Sport of the Gods,,,
Dunbar,Dorothy,Dorothy Dunbar,,,,,,The Flaming Crisis,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Duncan,Hadley J.,Hadley J. Duncan,,,,Wrote story on which The Burden of Race is Based (Peterson). --MP,,,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",The Burden of Race,,,
Duncan,Vernon S.,Vernon S. Duncan,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,The Homesteader,,,,Oscar Micheaux and His Circle,,,,
Duree,Robert,Robert Duree,Robert Dupree,,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,A Reckless Rover,Shine Johnson and the Rabbit Foot,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,Ghosts,Good Luck in Old Clothes,The Janitor",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,,
Dyer,E.C,E.C Dyer,,,,,,Georgia Rose,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Easter,W.K.,W.K. Easter,,,,"President of McFall Film Production Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,McFall Film Production Company,,
Easton,Sidney,Sidney Easton,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Conjure Woman,,,,Oscar Micheaux and His Circle,,,,
Eckert,Peter,Peter Eckert,,,,Pres. of Dunbar Film Corp (Sampson 62). --MP,,,,,,Blacks in Black and White,,Dunbar Film Corporation,,
Edmondson,William,William Edmondson,William Edmundson,,,,,"Thirty Years Later,The Millionaire,The Midnight Ace",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Edwards,Mattie,Mattie Edwards,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,"Within Our Gates,The Brute",,,,Oscar Micheaux and His Circle,,,,
Edwards,Grant,Grant Edwards,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,,
Elkas,Edward,Edward Elkas,Ed Elkins,,,"In record for Birthright in Richards, this actor is listed as Edward Elkas. In Musser et al.'s Micheaux filmography, he's listed as Ed Elkins. --MP",,Birthright,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Oscar Micheaux and His Circle",,,,
Ellenwood,Grace,Grace Ellenwood,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Ellis,George W.,George W. Ellis,,,,,,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,,,,The Ambitions of William Foster,,,,
Ellis,Evelyn,Evelyn Ellis,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,,
Elwald,Bertha,Bertha Elwald,,,,Secretary-Treasurer of Dunbar Film Corp (Sampson 62). --MP,,,,,,Blacks in Black and White,,Dunbar Film Corporation,,
Europe,James Reese,James Reese Europe,,,,,,Clef Club Five Minutes for Train,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Evans,John T.,John T. Evans,,,,"An officer of the Peter P. Jones Film Co., per Sampson (72).",,,,,,Blacks in Black and White,,Peter P. Jones Photoplay Ltd.,,
Evelyn,Mrs.,Mrs. Evelyn,Mrs. Evelyn,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,,
Everett,Estelle,Estelle Everett,,,,,,The Law of Nature,,,,Blacks in Black and White,,,,
Everett,Munzell,Munzell Everett,,,,,,A Modern Cain,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Ewing,A.T.,A.T. Ewing,,,,"Cameraman, McFall Film Production Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,McFall Film Production Company,,
Faltenburg,Master Henry,Master Henry Faltenburg,Master Henry Feltenburg,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,The $10000 Trail,,,,"Frame by Frame: A Black Filmography (Part 1),""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Farmer,Jacque,Jacque Farmer,,,,"Appearance in Nobody's Children verified in ""Display Ad 20 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Aug 21, 1920.",,Nobody's Children,,,,Blacks in Black and White,,,,
Fenderson,Reginald,Reginald Fenderson,,12/28/1911,8/16/1986,,,Bargain with Bullets,,,,"George P. Johnson Negro Film Collection,""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Fish,Albert A.,Albert A. Fish,,,,"""Supervised"" Smiling Hate (Richards).",,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",Smiling Hate,,,
Fisher,Isaac,Isaac Fisher,,,,"Cedric Robinson notes his affiliation with the Tuskegee Institute.
",,,,,,Forgeries of Memory and Meaning: Blacks and the Regimes of Race in American Theater and Film Before World War II,When True Love Wins,,,
Flemings,Margaret,Margaret Flemings,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Fletcher,Tom,Tom Fletcher,,,,,,The Custard Nine,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Fletcher,Oroville,Oroville Fletcher,,,,,,Shadowed by the Devil,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Fletcher,Ethel,Ethel Fletcher,,,,"Appeared in Sambo and Dinah: ""THE STATES."" The Chicago Defender (Big Weekend Edition) (1905-1966), Jun 20, 1914",,The Troubles of Sambo and Dinah,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Flowers,Tiger,Tiger Flowers,,,,,,The Fighting Deacon,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Flynn,Jim,Jim Flynn,,,,,,Jack Johnson vs. Jim Flynn,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Folsom,Cora Mae,Cora Mae Folsom,,,,,,,,"The New Era,Cephas Returns",,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,John Henry at Hampton: A Kind of Student Who Makes Good,,,
Forbes,Randolpf ,Randolpf  Forbes,,,,,,,Slave Days,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Forbes Randolf Kentuck Jubilee Singers,, Forbes Randolf Kentuck Jubilee Singers,,,,,,"Pickin' Cotton,Slave Days",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Ford,John,John Ford,,,,,,,Arrowsmith,,,,,,,
Forrest,Edgar,Edgar Forrest,,,,"According to Peterson, he is sometimes named as director of Sport of the Gods, although Vernot is named more frequently. --MP",,,The Sport of the Gods,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",The Sport of the Gods,,,
Foster,William,William Foster,Juli Jones,,4/19/1940,"

",,,"The Barber,The Colored Championship Base Ball Game,8th Regiment Departing for Texas & Relatives of 8th Regiment Troops,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,Mother,Smile Film of Colored Troops' Folks,YMCA Dedication,Birth Mark,Brother,Fool and Fire,A Woman's Worst Enemy","The Barber,The Colored Championship Base Ball Game,8th Regiment Departing for Texas & Relatives of 8th Regiment Troops,Chicago's Business Activities and Scenes along State Street/Chicago Businesses and Secret Orders,Mother,Smile Film of Colored Troops' Folks,YMCA Dedication,Birth Mark,Fool and Fire,Brother,The Butler,A Woman's Worst Enemy,The Grafter and the Maid","Smile Film of Colored Troops' Folks,The Butler,The Grafter and the Maid,YMCA Dedication",Envisioning Freedom: Cinema and the Building of Modern Black Life,The Barber,Foster Photoplay Company,,
Foster,"Andrew ""Rube""","Andrew ""Rube"" Foster",,,,,,The Colored Championship Base Ball Game,,,,The Ambitions of William Foster,,,,
Foster,Daisy,Daisy Foster,,,,,,The Broken Violin,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Fountaine,William E.,William E. Fountaine,,,,,,"Uncle Jasper's Will,The Dungeon,The Virgin of Seminole",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Fox,George,George Fox,,,,,,The Fall of the Mighty,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Fox,Harry,Harry Fox,,,,"Mentioned as appearing in A Giant of His Race in Winston-Salem Journal (Winston-Salem, North Carolina) �� Sun, May 15, 1921 �� Page 21",,A Giant of His Race,,,,,,,,
Foy,Bryan,Bryan Foy,,,,,,,Hazel Green and Company,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Fraction,Edward,Edward Fraction,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Symbol of the Unconquered,,,,Oscar Micheaux and His Circle,,,,
Franklin,Wendell,Wendell Franklin,,,,Mentioned in folder for the Art of Love,,,,,,George P. Johnson Negro Film Collection,,,,
Freeman,Ruth,Ruth Freeman,,,,,,A Shot in the Night,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Frisbie,Maud,Maud Frisbie,,,,,,The Love Bug,,,,Oscar Micheaux and His Circle,,Billy Mills Stock Company,,
Frye,Arthur,Arthur Frye,A Couple of Blackbirds,,,"Jackson, J. A. (1923, Oct 19). ""HOW HIGH IS UP"" IS NEWEST FILM. Afro-American (1893-1988) Retrieved from http://search.proquest.com/docview/530555637?accountid=14512",out.pdf (https://dl.airtable.com/lqa4iWmHQNwAmtchFFXL_out.pdf),How High Is Up?,,,,,,,,
Fullen,Louise,Louise Fullen,,,,,,"Come Back,The Comeback",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Gaines,Charles,Charles Gaines,,,,,,Regeneration,,,,Oscar Micheaux and His Circle,,,,
Gaines,Al,Al Gaines,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Brute,,,,Oscar Micheaux and His Circle,,,,
Galezio,Leonard,Leonard Galezio,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Gant,Harry,Harry Gant,,,,,,,Absent,Absent,"Absent,A Day with the Tenth Cavalry at Fort Huachaca,The Heart of A Negro,By Right of Birth,A Man's Duty,The Law of Nature,The Trooper of Company K,The Realization of a Negro's Ambition","""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Garbutt,Wanda,Wanda Garbutt,,,,"Winston-Salem Journal (Winston-Salem, North Carolina) �� Sun, May 15, 1921 �� Page 21",,A Giant of His Race,,,,,,,,
Gaytzera,Anthony,Anthony Gaytzera,,,,,,The Midnight Ace,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
George,Beatrice,Beatrice George,,,,,,By Right of Birth,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
George,William,William George,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,The Homesteader,,,,Oscar Micheaux and His Circle,,,,
Gibbens,Bessie,Bessie Gibbens,Bessie Givens,,,,,"The Wages of Sin,When Men Betray,The Midnight Ace",,,,,,,,
Gibson,Mae,Mae Gibson,,,,,,Hearts of the Woods,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Gilbert,Mercedes,Mercedes Gilbert,,7/26/1894,3/1/1952,Actor,,"Body and Soul,The Call of His People",,,,Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity,,,,
Gilliam,Allie,Allie Gilliam,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Gilpin,Charles,Charles Gilpin,,1879,,,,"The Scar of Shame,A Prince of His Race,Ten Nights in a Bar-Room ,Mandy's Choice",,,,"Slow Fade to Black,Blacks in Black and White",,,Lafayette Players,
Goldman,Lawrence,Lawrence Goldman,,,,,,,,The Flaming Crisis,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Goodman,J.K.,J.K. Goodman,,,,,,The Dungeon,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Gorgas,Alice,Alice Gorgas,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,The Brute,,,,Oscar Micheaux and His Circle,,,,
Gorman,Grant,Grant Gorman,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,,
Goudal,Jetta,Jetta Goudal,,,,,,,,,,George P. Johnson Negro Film Collection,,,,
Gourdin,Ned,Ned Gourdin,,,,Harvard athlete. World's record holder in running broad jump. ,,Peacock News Reel #2,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Gradie,Lottie,Lottie Gradie,Lottie Grady,,,,,"The Grafter and the Maid,The Railroad Porter",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography"",Uplift Cinema: The Emergence of African American Film and the Possibility of Black Modernity",,,"Lafayette Players,Pekin Stock Company",
Graham,Thomas,Thomas Graham,,,,"According to Sampson, was director of Ebony. --MP",,,,,,Blacks in Black and White,,Ebony Film Corporation,,
Grant,H.C.,H.C. Grant,,,,,,The Wife Hunters,Georgia Rose,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Gray,Ethel,Ethel Gray,,,,,,A Man's Duty,,,,,,,,
Green,Eddie,Eddie Green,,,,,,Eddie Green's Rehearsal,Eddie Green's Rehearsal,Eddie Green's Rehearsal,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Green,Joe,Joe Green,,,,,,Nobody's Children,,,,Blacks in Black and White,,,,
Green ,Sarah,Sarah Green ,,,,,,Mandy's Choice,,,,,,,,
Gregory,Dick,Dick Gregory,,,,"Box 2, Assault on a Queen folder. GPJ Collection

",,,,,,George P. Johnson Negro Film Collection,,,,
Griffin,Alex,Alex Griffin,,,,"Appearance in Nobody's Children verified: ""Display Ad 23 -- no Title."" The Chicago Defender (Big Weekend Edition) (1905-1966), Aug 07, 1920",,Nobody's Children,,,,Blacks in Black and White,,,,
Groner,Louis,Louis Groner,,,,,,,,"A Prince of His Race,Ten Nights in a Bar-Room ",,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Guilford,Willor Lee,Willor Lee Guilford,,,,,,"A Daughter of the Congo,Easy Street",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Gulport,Billy,Billy Gulport,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,,
Guyse,Sheila,Sheila Guyse,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,,
Hackett,LeRoy,LeRoy Hackett,,,,"An officer of the Peter P. Jones Film Co., per Sampson (72).",,,,,,Blacks in Black and White,,Peter P. Jones Photoplay Ltd.,,
Haddon,Pete,Pete Haddon,,,,,,"The Bull-Dogger,The Crimson Skull",,,,Oscar Micheaux and His Circle,,,,
Hall,Lindsay J.,Lindsay J. Hall,,,,,,The Sport of the Gods,,,,"""The 'Reol' Story: Race Authorship and Consciousness in Robert Levy's Reol Productions, 1921-1926""",,,,
Hall,Beulah,Beulah Hall,,,,,,"The Trooper of Company K,The Realization of a Negro's Ambition",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Hall,Iris,Iris Hall,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.).",,"The Homesteader,The Symbol of the Unconquered",,,,Oscar Micheaux and His Circle,,,,
Hall Johnson Chorus,, Hall Johnson Chorus,Hall Johnson Choir,,,,,St. Louis Blues,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Handy,W.C.,W.C. Handy,,,,Choral arrangements with Rosamund Johnson,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",St. Louis Blues,,,
Hanson,Robert,Robert Hanson,,,,"Field (2016): ""(It is not clear who Robert
Hanson was, though he might be the ���white gentleman��� who reportedly
lent Foster the funds to purchase a moving picture camera.)"" (54).",,,,,,The Ambitions of William Foster,,Foster Photoplay Company,,
Harding,Daisy,Daisy Harding,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Hargrave,Myrtle,Myrtle Hargrave,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Harper,Billy,Billy Harper,,,,,,"Uncle Remus' First Visit to New York,Mandy's Choice",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Harper,Leonard,Leonard Harper,,4/9/1889,2/10/1943,,,The Exile,The Exile,,,George P. Johnson Negro Film Collection,,,,
Harrington,Hamtree,Hamtree Harrington,,,,,,Gayety,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Harris,Stella,Stella Harris,,,,,,The Barber,,,,The Ambitions of William Foster,,,,
Harris,Clifford,Clifford Harris,,,,,,Hearts of the Woods,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Harris,Leorine,Leorine Harris,,,,,,Uncle Remus' First Visit to New York,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Harris,Henry,Henry Harris,,,,,,Foolish Lives,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Harris,LaFont,LaFont Harris,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Within Our Gates,,,,Oscar Micheaux and His Circle,,,,
Harris,Harriet,Harriet Harris,,,,,,A Modern Cain,,,,Blacks in Black and White,,,,
Harris,Theresa,Theresa Harris,,,,"1922-1938) [New York, N.Y] 04 Dec 1937: 19.",out.pdf (https://dl.airtable.com/SM19uqeBTs64YKLPkJwH_out.pdf),Bargain with Bullets,,,,The New York Amsterdam News ,,,,
Harrison,Richard B.,Richard B. Harrison,,,,,,"Easy Street,The Grafter and the Maid",,,,Slow Fade to Black,,,,
Harritage,C.,C. Harritage,,,,"Mentioned as appearing in A Giant of His Race: Winston-Salem Journal (Winston-Salem, North Carolina) �� Sun, May 15, 1921 �� Page 21",,A Giant of His Race,,,,,,,,
Hart,Fred,Fred Hart,,,,"GPJ Collection, Box 19, His Great Chance Folder. --MP",,His Great Chance,,,,George P. Johnson Negro Film Collection,,,,
Hawley,Monte,Monte Hawley,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,A Son of Satan,,,,Oscar Micheaux and His Circle,,,,
Hayes,Helen,Helen Hayes,,,,,,Arrowsmith,,,,,,,,
Haynes,Hunter,Hunter Haynes,,,,,,,"The Tango Queen,Uncle Remus' First Visit to New York,Haynes Newsreel No. 1,Haynes Newsreel No. 2,Haynes Newsreel No. 3","The Tango Queen,Love Me Love My Dog,Uncle Remus' First Visit to New York,Mandy's Choice,Haynes Newsreel No. 1,Haynes Newsreel No. 2,Haynes Newsreel No. 3",,Richard E. Norman and Race Filmmaking,,Afro-American Film Company,,
Haywood,Ginn,Ginn Haywood,,,,,,,The Custard Nine,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Henderson,Harry,Harry Henderson,,,,,,"Smiling Hate,Children of Fate,A Prince of His Race,Ten Nights in a Bar-Room ,The Scar of Shame",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Henderson,Frances,Frances Henderson,,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,The $10000 Trail,,,,Frame by Frame: A Black Filmography (Part 1),,,,
Henry,Milton,Milton Henry,,,,,,Deceit,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Herman,Kid,Kid Herman,Will,,,"Identified in entry for $10,000 Trail in Klotman. --MP",,The $10000 Trail,,,,Frame by Frame: A Black Filmography (Part 1),,,,
Herndon,Cleo,Cleo Herndon,,,,,,,,,,,,,,
Heywood,Don,Don Heywood,Don Heywood and His Band,,,,,The Exile,,,,George P. Johnson Negro Film Collection,,,,
Hill,W.,W. Hill,Pickaninny Hill,,,,,The Broken Violin,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Hind,Rudolph,Rudolph Hind,,,,"Mentioned in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. --MP",,The Wages of Sin,,,,Oscar Micheaux and His Circle,,,,
Hoelby,Walter,Walter Hoelby,,,,,,A Shot in the Night,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Holder,Roland,Roland Holder,,10/24/1896,1/13/1967,,,The Exile,,,,George P. Johnson Negro Film Collection,,,,
Holman,Ernest William,Ernest William Holman,E.W.,,,"VP of McFall Film Production Company, per Sampson (77). --MP",,,,,,Blacks in Black and White,,McFall Film Production Company,,
Holt,Anna,Anna Holt,,,,,,The Barber,,,,The Ambitions of William Foster,,,,
Hopton,King Russell,King Russell Hopton,,,,,,Arrowsmith,,,,,,,,
Horn,P. D.,P. D. Horn,,,,"Bowser et al. does not list him as a cast member of Black Gold, but Lupack does. -- MP",,Black Gold,,,,Richard E. Norman and Race Filmmaking,,,,
Horne,Boots,Boots Horne,Boots Hope,,,"Name given as Boots Hope in Musser et al.'s Micheaux filmography, in Bowser et al., Oscar Micheaux and His Circle. Given as Boots Horne in Richards. --MP",,The Broken Violin,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Hotaling,Arthur D. ,Arthur D.  Hotaling,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Howard,Shingzie,Shingzie Howard,,,,,,"The House Behind the Cedars,The Scar of Shame,Uncle Jasper's Will,Children of Fate,The Dungeon,St. Louis Blues,The Virgin of Seminole,A Son of Satan,A Prince of His Race",,,,"Richard E. Norman and Race Filmmaking,Slow Fade to Black",,,,
Hyson,Roberta,Roberta Hyson,,,,,,"Georgia Rose,Oft in the Silly Night",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Irving,Roland,Roland Irving,,,,,,A Daughter of the Congo,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Jacks,Samuel,Samuel Jacks,"Sambo Jacks, Samuel Jaques",,,,,"Are Working Girls Safe?,A Black and Tan Mix-Up,A Black Sherlock Holmes,The Bully,The Comeback of Barnacle Bill,Dat Blackhand Waitah Man,Devil for a Day,Do the Dead Talk?,Fixing the Faker,The Porters,Within Our Gates,A Reckless Rover,Shine Johnson and the Rabbit Foot,The Millionaire,When Cupid Went Wild,When You Are Scared Run,When You Hit Hit Hard,Wrong All Around,The Janitor,Good Luck in Old Clothes",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,George M. Lewis Stock Compay,,
Jackson,Alonzo,Alonzo Jackson,,,,,,Children of Fate,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Jackson,Al,Al Jackson,,,,"Box 4, Boy What a Girl folder, GPJ collection",,Boy What a Girl,,,,George P. Johnson Negro Film Collection,,,,
Jackson,Zodiac,Zodiac Jackson,,,,"Mentioned in Musser et al., An Oscar Micheaux Filmography (in Bowser et al.). --MP",,Spider's Web,,,,Oscar Micheaux and His Circle,,,,
Jeannette,Joe,Joe Jeannette,Joe Jannette,,,,clipping_5275831.pdf (https://dl.airtable.com/naG290PeTXiGYCK2UaHG_clipping_5275831.pdf),Square Joe,,,,Slow Fade to Black,,,,
Jeffrey,Herbert,Herbert Jeffrey,,,,,,Harlem Rides The Range,,,,Blacks in Black and White,,,,
Jenkins,Wesley,Wesley Jenkins,,,,,,The Custard Nine,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Jenkins,Bo,Bo Jenkins,,,,,,,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Johnson,Noble,Noble Johnson,,4/18/1881,1/9/1978,,,"Body and Soul,The Trooper of Company K,The Realization of a Negro's Ambition,The Law of Nature","The Realization of a Negro's Ambition,The Trooper of Company K",A Man's Duty,,Blacks in Black and White,,Lincoln Motion Picture Company,,
Johnson,George,George Johnson,,,1977,,,,The Law of Nature,"The Realization of a Negro's Ambition,The Trooper of Company K,The Law of Nature,A Man's Duty",,,By Right of Birth,,,
Johnson,Lillian,Lillian Johnson,,,,,,Body and Soul,,,,,,,,
Johnson,Maud,Maud Johnson,,,,,,The Love Bug,,,,Oscar Micheaux and His Circle,,Billy Mills Stock Company,,
Johnson,William,William Johnson,,,,,,Ten Nights in a Bar-Room ,,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
Johnson,Jack,Jack Johnson,,,1946,,,"As the World Rolls On,For His Mother's Sake,Black Thunderbolt,Jack Johnson vs. Jim Flynn,The Man in Ebony ",,,,"""African American Films Through 1959: A Comprehensive, Illustrated Filmography""",,,,
